Arthur	#1c1c1c	#ddeedd	#3d352a,#cd5c5c,#86af80,#e8ae5b,#6495ed,#deb887,#b0c4de,#bbaa99,#554444,#cc5533,#88aa22,#ffa75d,#87ceeb,#996600,#b0c4de,#ddccbb
Atelier Sulphurpool	#202746	#979db4	#202746,#c94922,#ac9739,#c08b30,#3d8fd1,#6679cc,#22a2c9,#979db4,#6b7394,#c76b29,#293256,#5e6687,#898ea4,#dfe2f1,#9c637a,#f5f7ff
Atlas Ragnarok	#000000	#ffffff	#000000,#ff8080,#99ffe4,#2563eb,#a0a0a0,#3b82f6,#99ffe4,#ffffff,#505050,#ff9999,#b3ffe4,#60a5fa,#b0b0b0,#93c5fd,#99ffe4,#ffffff
Atom	#161719	#c5c8c6	#000000,#fd5ff1,#87c38a,#ffd7b1,#85befd,#b9b6fc,#85befd,#e0e0e0,#000000,#fd5ff1,#94fa36,#f5ffa8,#96cbfe,#b9b6fc,#85befd,#e0e0e0
Atom One Dark	#21252b	#abb2bf	#21252b,#e06c75,#98c379,#e5c07b,#61afef,#c678dd,#56b6c2,#abb2bf,#767676,#e06c75,#98c379,#e5c07b,#61afef,#c678dd,#56b6c2,#abb2bf
Atom One Light	#f9f9f9	#2a2c33	#000000,#de3e35,#3f953a,#d2b67c,#2f5af3,#950095,#3f953a,#bbbbbb,#000000,#de3e35,#3f953a,#d2b67c,#2f5af3,#a00095,#3f953a,#ffffff
Aura	#15141b	#edecee	#110f18,#ff6767,#61ffca,#ffca85,#a277ff,#a277ff,#61ffca,#edecee,#4d4d4d,#ffca85,#a277ff,#ffca85,#a277ff,#a277ff,#61ffca,#edecee
Aura Dark	#15141b	#cdccce	#15141b,#ff6767,#61ffca,#ffca85,#a277ff,#61ffca,#a277ff,#cdccce,#464646,#ffca85,#a277ff,#ffca85,#a277ff,#61ffca,#61ffca,#edecee
Aurora	#23262e	#ffca28	#23262e,#f0266f,#8fd46d,#ffe66d,#0321d7,#ee5d43,#03d6b8,#c74ded,#292e38,#f92672,#8fd46d,#ffe66d,#03d6b8,#ee5d43,#03d6b8,#c74ded
Ayu	#0b0e14	#bfbdb6	#11151c,#ea6c73,#7fd962,#f9af4f,#53bdfa,#cda1fa,#90e1c6,#c7c7c7,#686868,#f07178,#aad94c,#ffb454,#59c2ff,#d2a6ff,#95e6cb,#ffffff
Ayu Light	#f8f9fa	#5c6166	#000000,#ea6c6d,#6cbf43,#eca944,#3199e1,#9e75c7,#46ba94,#bababa,#686868,#f07171,#86b300,#f2ae49,#399ee6,#a37acc,#4cbf99,#d1d1d1
Ayu Mirage	#1f2430	#cccac2	#171b24,#ed8274,#87d96c,#facc6e,#6dcbfa,#dabafa,#90e1c6,#c7c7c7,#686868,#f28779,#d5ff80,#ffd173,#73d0ff,#dfbfff,#95e6cb,#ffffff
Banana Blueberry	#191323	#cccccc	#17141f,#ff6b7f,#00bd9c,#e6c62f,#22e8df,#dc396a,#56b6c2,#f1f1f1,#495162,#fe9ea1,#98c379,#f9e46b,#91fff4,#da70d6,#bcf3ff,#ffffff
base16-icy	#021012	#095b67	#021012,#16c2d9,#4dd0e1,#80deea,#00bcd4,#00adc1,#26c6d6,#095b67,#052e34,#b3ebf2,#4dd0e1,#80deea,#00bcd4,#00adc1,#26c6d6,#0c7c7c
